species,PC1,Location,Confirmed_Coordinates,Coordinates_Lat_Long,Lat_machine_readable,Long_machine_readable,Date collected ,Date_collected_cleaned ,Date_collected_cleaned_machine_readable,Habitat/ distrbution,Concerns/Notes,figure Number/source,Collector and number,avg_temp,min_temp,max_temp,Precipitation,Snowfall,avg_temp_monthly,min_temp_monthly,max_temp_monthly,Precipitation_monthly,Snowfall_monthly,Notes,min_length,max_length,avg_length,min_width,max_width,avg_width,avg_volume_estimated,estimated_volume,avg_length_old,avg_width_old
A_cinereopannosa,-0.088801001,"USA: Massachusetts, Franklin Co., Mt. Toby; Maryland Montgomery Co., Takoma Park, Silgo Creek opposite Sanitarium; Tennessee, Great Smoky Mountains, Cades Cove; North Carolina: Watauga Co., Blowing rock; Macon Co., Highlands",,"42.4881° N, 72.5376° W",42.4881,-72.5376,Aug 25 1963; Aug 24 1919; July 1 1955; Aug-Sept 1899; July 29 1931; Aug 4; July 10 1941,8/25/1963,8/25/1963,Terrestrial in woods; type collected in pine-forest; easter USA,info pg 523,figs 306-310,BAs 3798B(L); C.C Thomas; R. Hesler and Campbell 21822; G.F Atkinson 3731C; W.C. Coker 8989; W.C Coker 10858; W.C Coker 12365,59,48,70,0,0,65.1,51.9,78.1,2.54,0,Used weather data from Amnherst as no data from closer location but only ~25 min away,9,12.5,10.75,5.5,6.5,6,,,10.4,6.1
A_atkinsoniana,-0.085361478,"USA Massachusetts, Mt Toby; Michigan: Highlands, Haven Hill; Pickny Resort Area; Washtenaw Co, Mill Lake; North Carolina, Chapel Hill, Battle's Park; Alabama, Elmore Co., ",,"42.4881° N, 72.5376° W",42.4881,-72.5376,Aug 25 1963; Sept 16 1961; Sept 23 1961; Oct 7 1961; Sept 17 1965; Sept 14 1913; Dec 3 1921,8/25/1963,8/25/1963,Terrestrial in woods in eastern and southern USA: Also reported from south-eastern Canada,info pg 428,figs 152-156 ,C. Bas 3801; A.H Smith 64290; A.H Smith 64412; A.H Smith 64127; A.H Smith 72631; W.C Coker 759; Burke,59,48,70,0,0,65.1,51.9,78.1,2.54,0,Used weather data from Amnherst as no data from closer location but only ~25 min away; Also same day and collection site as A_cinereopannosa,9,10.5,9.75,5.5,7,6.25,,,9.25,6.3
A_griseofarinosa,0.090154251,"Japan, Honshu, Otsu-city, kurozu",,"35.0178° N, 135.8552° E",35.0178,135.8552,July 30 1964,7/30/1964,7/30/1964,Terrestrial in deciduous woods in Japan,,figs 226-227,T. Hongo 2915,n/a,73,93,0,0,n/a,71,88,6.45,0,Used weather data from Ueno ~1 hr away,8.5,10,9.25,7,9,8,,173.1148451,,
A_foetens,0.145281973,"Argentina: Tucuman, Pie del Periquillo; Buenos Aires, Santa Catalina",,"26.8083° S, 65.2176° W",-26.8083,-65.2176,Dec 30 1951; Dec 27 1965,12/27/1965,12/27/1965,Terrestrial in fields and forests in Argentina,,figs 84-87,R. Singer & H. Helberger T 1672; R. Singer S 620,,,,,,,,,,,,8,9.5,8.75,7.5,9,8.25,,,,
A_japonica,-0.089377762,"Japan, Honshu, prov. Shiga, Otsu-City,Terabe",,"35.0178° N, 135.8552° E",35.0178,135.8552,Aug 9 1966,8/9/1966,8/9/1966,Terrestrial in Pinus-Quercus forests in Japan,info on pg 399, fig 107-110,T. Hongo 3275,n/a,72,91,0,0,n/a,71,89,5.55,0,Used weather data near kayamachi station ~1 hr away,9,10.5,9.75,5.5,6.5,6,,155.9905472,,
A_ravenelii,-0.00043275,"USA, Maryland, Laurel; tennessee, great Smoky Mountains, Cades Cove; North Carolina Chapel Hill, Purefoy's mill; South Carolina, ",,"39.0993° N, 76.8483° W",39.0993,-76.8483,"Aug 13 1966, Aug 5 1938, Sept 14 1956; Sept 26 1963; Oct 4 1913",8/13/1966,8/13/1966,Terrestrial in woods in eastern USA,,figs 111-117,A. Sanchez & E. Haeskaylo CU 48841; A.H Smith 9797; L.R Hesler 22418; C. Bas 3931; W.C Coker 878; H.W Ravenel,71.5,60,83,0,0,78.5,67.8,89.6,1.5,0,,8,11,9.5,5.5,7,6.25,,,,
A_nana,-0.027875197,"USSR, KAzakhstan, Golodnaya Step; W Pakistan, Lhadhar, Sheikhupura near Lahor; Bahawalpur, Bahawalnagar",,"45.6° N, 63.4° E",45.6,63.4,April 5 1915; Oct 12 1952; Aug 18 1966,8/18/1966,8/18/1966,In steppes and semi-deserts in Central Asia,,figs 62-65,O.A Fedtschenko; S. Ahmad 4973; S. Ahmad 19367b,,,,,,,,,,,,9.5,12,10.75,6,8,7,,,,
A_virginioides,0.048800706,"Japan, Honshu, Otsu-city; Mii-dera; Otsu-city,Terabe",,"35.0178° N, 135.8552° E",35.0178,135.8552,Sept 6 1953; Aug 30 1966,8/30/1966,8/30/1966,Terrestrial in Castanopsis and Pinus-Quercus forest in Japan,,figs 167-169,T. Hongo 750; T. Hongo 3293,n/a,59,85,0.02,0,n/a,63,81,15.18,0,Weather data from Hirakata ~ 1 hr away,8,10.5,9.25,6,7.5,6.75,,,,
A_gracilior,-0.118729278,"Spain, Gerona, Ampurdan,",,"42.2755° N, 3.0176° E",42.2755,3.0176,"Oct 20, 1966",10/20/1966,10/20/1966,Terrestrial in Spain,info on pg 436,Figs 170-172,A. Marchand ,,,,,,,,,,,,10,11.5,10.75,5.5,6.5,6,,230.9528749,11.25,5.9
A_zambiana,0.117407129,"Zambia, Copperbelt Prov., near Kitwe",,"-12.827918, 28.219523",-12.827918,28.219523,Jan 1974,1/15/1974,1/15/1974,"Especially common in the northern areas of Zambia. It is found in miombo woodland, solitary or sometimes in pairs and is locally abundant",,,,,,,,,,,,,,,9,13,11,8,10.5,9.25,,532.1111825,11.75,9.3
A_sinicoflava,0.212005436,"New Jersey, Sussex County, stokes State Forest, New Jersey Mycological Association Foray participant.",,"41.1654° N, 74.8249° W",41.1654,-74.8249,Oct 6 1985,10/6/1985,10/6/1985,"Solitary to occasionally subgregarious, June to October, at 10-1000+m elev, in a variety of habitats from Vermont to southwestern Virginia. Apparently with a wide variety of mycorrhizal symbionts. ",,,Tulloss,51.3,39.4,63.1,1.83,,,,,,,,9.1,12.2,10.65,8.4,11.5,9.95,,,10.6,9.95
A_griseoverrucosa,-0.036234581,"CHINA, Fuijian, Sanming, Tangshan, on soil; Guangdong, Boluo, Luofushan, 1000m asl., on soil.",,"26.1548° N, 117.3820° E",26.1548,117.382,Aug 13 1974; June 17 1987,6/17/1987,6/17/1987,No info listed,,,H.Z Li et al 37396; G. Li 12011,,,,,,,,,,,,8,11,9.5,5.5,7,6.25,,233.472694,,
A_walpolei,-0.073477585,"Walpole-Nornalup National Park, Western Australia [ Prescise locality withheld for conservation reasons]",,"34.9867° S, 116.8027° E",-34.9867,116.8027,June 10 1989,6/10/1989,6/10/1989,"Solitary or gregarious in sandy soil in moist sclerophyll forest or woodland, associated with Beaufortia sparsa, Eucalyptus Marginata. Appears to be restricted in distribution to the Warren WAR sub-bioregion",,figs 5-6,H.H & O.K Miller OKM 23903,,,,,,,,,,,,8.5,13,10.75,5.5,7,6.25,,311.7245309,,
A_kalamundae,-0.077077314,"East of Kalamunda, Western Australia [ Presice locality withheld for conservation reasons]",,"31.9733° S, 116.0605° E",-31.9733,116.0605,Jun 18 1989,6/18/1989,6/18/1989,"Gregarious in sandy clay or lateritic clay soil, n native vegetation; nearby plants include taxandria linerarifolia, allocausarina fraseiana. Occupies the Northern Jarrah Forest, Southern Jarrah Forest and Avon Wheatbelt IBRA subregions.",,fig 3 and 4,B. Dell OKM 23975,,,,,,,,,,,,8.5,12.5,10.5,5,7.5,6.25,,,,
A_luteivolvata,-0.037071782,"Australia, Western Australia, Shire of Denmark, Giants State Park; Shire of Gleneagle, Gleneagel Recreation Area; Shire of Perth, Murdoch Campus Forest Reserve",,"34.978182° S, 116.89393° E",-34.978182,116.89393,June 6 1991; June 15 1991; No Date,6/6/1991,6/6/1991,"Under or near Eucalyptus calophylla R. Br. ex Lindley. E marginata. E. Jacksonii Maiden, E. Diversicolo F. Muell. Allocasauria fraseriana with pinus radiata D. Don. Present in one area. Several usually fruiting in early Jue through July",,,OKM 24779; OKm 24781; OKM 24860; OKM 25099,,,,,,,,,,,,10,13,11.5,5.5,7.5,6.5,,,,
A_austroviridis,-0.088131863,"Australia, Western Australia, Shire of Albany, Two Peoples Bay Nature Reserve",,"34.85° S, 118.5° E",-34.85,118.5,June 7 1991,6/7/1991,6/7/1991,"Terrestrial, several to gregarious in nearly pure sandy soil, often buried in sand and nearly covered when young. Fruiting under a dense, shrub dominated community with coastal jarrah ( Eucalyptus marginata sbsp.) Two Peoples Bay Nature Reserve, Shire of Albany, Western Australia. Fruiting in may but most often in june during wet cool weather",,fig 14,OKM 24785,,,,,,,,,,,,10,12.6,11.3,5,6.7,5.85,,326.7256359,,
A_basiorubra,0.030109297," AUSTRALIA. WESTERNAUSTRALIA: Shire of Albany, Two Peoples Bay NatureReserve; same locality (Holotype PERTH). Shire of Perth, Kings Park, May Drive",,"34.85° S, 118.5° E",-34.85,118.5,"June 22 1989; June 7 1991, June 19 1991",6/19/1991,6/19/1991,"Terrestrial in deep sand, associated with Eucalyptus marginata Donnex Smith, Allocasuarina fraseriana Mig. along Fire-break Road to Robinson's Gully, Two Peoples BayNature Reserve, Western Australia. Also found nearMay Drive in Kings Park, Perth, under a planted stripof exotic Eucalyptus with Allocasuarina fraseriana growing in the nearby natural woods. Fruiting from early to late June",,,OKM 24011;OKM 24784; OKM 24890,,,,,,,,,,,,7.6,9,8.3,5.5,6.7,6.1,,,,
A_grallipes,-0.006140567,"Brazil, Parana, Curitiba, 'Parque Barigui'; Curitiba, Parque Barreirinha",,"25.4263° S, 49.3072° W",-25.4263,-49.3072,Dec 31 1991; March 13 1992,3/13/1992,3/13/1992,"Found twice at the the type-locality and once at a second locality in southern Brazil, in mixed ombrophilous forest with or without Araucaria angustifolia, at 900 m altitude.",,,A.A.R de Meijer 2078; A.A.R de Meijer 2179,,,,,,,,,,,,7.5,9.6,8.55,5.6,6.9,6.25,,,8.55,6.25
A_novinupta,0.035060218,"USA, Oregon, Washington County, Beaverton, Tektronix Campus",,"45.5152° N, 122.6784° W",45.5152,-122.6784,April 14 1992,4/14/1992,4/14/1992,Solitary to scattered to gregarious in troops. British Columbia: under conifers in lawn. Arizion: Under Pseudotsuga meniesii (mirb) Franco and Pinus ponderosa Dougle. ex Laws. at 2450m elev.,,,J.E Lindgren s.n [Tulloss 4-14-92-JEL1],60,51,69,0,0,55.6,47.9,63.3,5.06,0,Had to use portland weather data but is only ~ 16 min from beaverton,8.2,10.8,9.5,5.5,7.2,6.35,,,9.5,6.35
A_populiphila,0.186159247,"USA. Kansas, Pottawatamie Co,. N of Manhattan, Tuttle Creek St. Pk, River Pond Area",,"39.2573° N, 96.5817° W",39.2573,-96.5817,May 15 1992,5/15/1992,5/15/1992,Occuring in hrends (possibly with several mycelia each producing 25-100 basidiocarps) coveral several acrea in a mowed field (wihin flood plain) under P. Deltoides Marsh,,,W.R & E. Moses s.n ,70,55,85,0,,64,51.1,76.9,1.6,,,9.2,12.5,10.85,8.2,11.2,9.7,,,10.85,9.7
A_masasiensis,-0.006437945,"Tanzania-South Province, Masasi District, Kigweje Village, in a field under Anacardium, alt 400m ; the same province, Songea District, near Namtumbo, Lilunde Village, degraded Miobo woodland with Brachystegia, Combretum, Julbernardia, Syzgium, and Uapaca, alt 800 m",,"10.44564°S, 38.481584° E",-10.44564,38.481584,Jan 24 1993; Jan 29 1993,1/29/1993,1/29/1993,"Solitary to gregarious on the ground in Miombo woodland dominated by Brachystegia, Combretum, Julbernardia, Syzgium, and Uapaca, alt 300-1340m",,,"T. Saarimaki et al 1376 (h-7002977, holotype); T. Saarimaki et al 1444 (H-7002979)",,,,,,,,,,,,9,11,10,6,7,6.5,,,,
A_pudica,0.002992561,"Burundi (all at BR), Bururi Prov, Mugara, alt ca 1000m, Brachystegia-woodland",,"4.0733° S, 29.4911° E",-4.0733,29.4911,Nov 1978; JAn 1979; March 1994,3/1/1994,3/1/1994,On old termitaria in miombo woodland dominated by Brachystegia bussei and B. utilis,,,"Rammeloo 5822, 5872; Rammeloo 6314.",,,,,,,,,,,,8.7,10.9,9.8,5.9,7.9,6.9,,,9.55,6.7
A_strobilaceovolvata,0.012636278,"Zambia-Northern Province, North Luangwa National Park, Mpika on soil; Farm ""gibsons"" in Brachystegia Miombo woodland",,"11.9114° S, 32.2654° E",-11.9114,32.2654,Jan 28 1995; Jan 16 1996,1/16/1996,1/16/1996,Solitary or in small group on the ground in Miombo woodland; Currently known from the Congo to Zambia,,fig 9,D. Shah-Smith 154 (K-29008); Buyck and Eyssartier 96.060 (PC-0084418),,,,,,,,,,,,12,15,13.5,8,10,9,,,,
A_imazekii,0.179969344,,,,,,12 Sep 1996,9/12/1996,9/12/1996,"Solitary or gregarious in small groups on the ground of coniferous and mixed forests with Pin-aceae and/ or Quercus from late summer to autumn. In the central and eastern parts of theJapanese archipelago (Hokkaido, Chiba, Shizuoka,Gifu).",,,,,,,,,,,,,,,8.8,10.8,9.8,8.4,10.4,9.4,,230.7185644,,
A_madagascariensis,-0.087211777,"Madagascar-Eastern escapment, Andasible, Road side with planted Eucalypts,", S 18*94'27.06'' E 48*41'71.38'',,-19.5742,48.7032,Feb 21 1997,2/21/1997,2/21/1997,Solitary or in small group on the ground under planted trees of Eucalyptus,pg 10,"fig 6, plate 1a-d","Buyck, Moreau and Eyssartier 97.560",,,,,,,,,,,,11,14,12.5,6,8,7,,534.5296853,,
A_parvipantherina,0.040758429,"China, Yunnan, Hequing, Huangping; China. Yunnan provicne, binchuan county, Jizushan",,"26.0999° N, 100.2614° E",26.0999,100.2614,July 24 1998; Aug 9 1985,7/24/1998,7/24/1998,"n Solitary to scattered on soil in mixed forests with Pinus yunnanensis; fruit? ing from July to August in Yunnan, southwestern China at 1200-2500 m elevation",,,Zhu. L. Yang 2490; G. P. Xiao 529,,,,,,,,,,,,8.5,11.5,10,6.5,8.5,7.5,,190.2136176,10,7.5
A_marmorata,0.119426044,"China, Yunnan, Lijiang, Laojunshan.",,"26.6667° N, 99.7000° E",26.6667,99.7,Aug 14 2000,8/14/2000,8/14/2000,"Solitary to scattered on soil under Abies, Picea, Quercus, Betula, and/or salix, fruiting from Aug-Sept in south-western China at 2700-4000m elevation.",,,Zhu. L. Yang 2915,,,,,,,,,,,,,,0,,,0,,422.4813799,8.75,7.1
A_concentrica,0.106540032,"Chiba, Japan","35.588052, 140.184936",,35.588052,140.184936,Oct 2 2000,10/2/2000,10/2/2000,,,,,,,,,,,,,,,,8,10,9,6.4,8,7.2,,,,
A_ibotengutake,0.030054228,"Japan, Mt. Yoshida, Kanguraoka-cho, Sakyo-ku, Kyoto-shi, alt. ca. 100m, in a mixed forest with Quercus serrata and Pinus densiflora",,"35.3606° N, 138.7274° E",35.3606,138.7274,Oct 5 2000,10/5/2000,10/5/2000,Solitary or gregarious on the ground.In coniferous and mixed forests with Pinaceae and/or Faga-ceae. The species is known only in Japan,,,T. Oda FB-30969,n/a,52,77,n/a,0,n/a,28,67,3.22,0,"Used weather data from Hirakata ~1 away, but also had many day missing for data",8.4,10.8,9.6,6.4,8,7.2,,362.9167832,,
A_millsii,0.144982742,"Australia. Tasmania, Freycinet National Park, 42,10'S, 148, 16'E.",,"42.1306° S, 148.3123° E",-42.1306,148.3123,Dec 1 2001,12/1/2001,12/1/2001,"Gregarious in sand, in native vegetation; nearby plants includeAllocasuarinaspp. Occurs in the Tasmanian Northern MidlandTNM IBRA bioregion (Department of the Environment 2013. Fruiting period is December.",,,G.M GatesA32 & D.A Ratkowsky,,,,,,,,,,,,7.5,9.5,8.5,6.5,8.5,7.5,,,,
A_aporema,0.131495677,INDONESIA. WEST SUMATRA PROVINCE: Batang Paloepoeh; MALAYSIA. JOHOR STATE: Endau-Rompin National Park; SELANGOR STATE: Kepong,,,,,7/1/1924; 10 Aug 2002; 18 Mar 2009,8/10/2002,8/10/2002,Solitary or in small groups on the ground in lowland dipterocarp forest; known from Indonesia and Malaysia.,,,,,,,,,,,,,,,9.5,11,10.25,8.5,10.5,9.5,,461.4443283,,
A_wadulawitu,-0.239673347,"Melville, Western Australia ",,"32.0439° S, 115.7994° E",-32.0439,115.7994,"May 14, 2005",5/14/2005,5/14/2005,"solitary to gregarious in sandy soil, in native vegetation; nearby plants include Corymbia calophylla, Eucalyptus marginata, E todtiana, E camaldulensis, Jacksonia furcellatata, Banksia attenuata and B  menziesii. Occurs in the Swan Coastal Plain SWA2 Perth IBRA subregion",n/a,Fig 2,L. McGurk 2005,n/a,56,76,0.06,0,n/a,57,74,7.53,0,Used Perth Data since near Melville.,9,12.5,10.75,4,5,4.5,,287.1612034,,
A_lippiae,-0.063282699,"Brazil. PERNAMBUCO, Buique, Parque Nacional Do Catimbau, "" Trilha do Canion""",,"8.5920° S, 37.2471° W",-8.592,-37.2471,Jul 3 2006,7/3/2006,7/3/2006,"In Sandy Soil under alecrim-de-cheiro ( a species of Lippia L., Verbenaceae",,figs 1-6,"B.T Goto, E.R Drechsler-Santos & F. Wartchow s.n ",,,,,,,,,,,,10,21,15.5,7,11,9,,349.2033386,,
A_coacta,0.035808526,"Brazil, Sao Paulo Stat, Sao Paulo, PARQUE ESTADUAL DAS FONTES DO IPIRANGA; ",,"23.5558° S, 46.6396° W",-23.5558,-46.6396,Jan 29 1960; Jan 1 2007; April 20 2007,1/1/2007,1/1/2007,Solitary or in small groups (two or three basidiomata near) on soil in a remnant of Atlantic forest in Sao Paulo City,,,Fidalgo & Furtado s.n; F. Karstedt & Menolli Jr 841; Menolli Jr. et al 126,,,,,,,,,,,,8.7,10,9.35,7.5,8.7,8.1,,,,
A_javanica,0.064628771,"MALAYSIA. JOHOR STATE: Endau-Rompin National Park,",,"2.471439, 103.266520",2.471439,103.26652,21 Mar 2008,3/21/2008,3/21/2008,In small groups on the ground in lowland dipterocarp forest; known from Indonesia and Malaysia.,,,,,,,,,,,,,,,7.5,9,8.25,5.8,7,6.4,,,,
"Amanita augustaiscommon in the mixed coastal woods ofCalifornia, the Pacific Northwest, and Alaska(Fig. 8). Reports of collections from the Sierra-Cascade mountain ranges are scarce, particularlyin California. The primary fruiting period isautumnal but basidiomata may be collected inthe late summer and fall in the Pacific Northwestand in the winter and spring in California.Ittends to fruit in small numbers, typically 1-3basidiomata, rarely more.Amanita augustais anectomycorrhizal species and along the range of itsdistribution it is found in mixed conifer andbroadleaved habitats, amongst a number ofpotential hosts. The exact associations are notfully mapped out yet, but amongst the established ectomycorrhizal hosts areP. muricata(Bruns etal. 2002) andPs. menziesii(Smith et al. 2002),whileTsuga heterophyllais listed as probable(Trappe 1960). In addition, we have observedA.augustain solid stands of live oak (Quercusagrifolia) in California and Sitka spruce (Picea sitchensis) In Alaska, as well as in mixed conifer spruce (Pi. engelmannii ) in Oregon. Tanoak (N.densiflorus) is a common tree in much of its distribution in California. Future research will undoubtedly shed more light on the exact associations from the number of other potential conifer and broadleaved hosts.",-0.008197313,"Brazil. Parana, Cerro Azul, Fazenda Varanopolis; Rio Grande do sul, Minas do Leao, Agropecuaria Condor",,"24.8257° S, 49.2628° W",-24.8257,-49.2628,July 19 1985; May 5 2008,5/5/2008,5/5/2008," (In Brazil) (States of) Parana, Rio Grande do sul, Santa Catarina, Sao Paulo; Often on soils under Pinus Spp ( mainly p. elliottii Englem., and P. Taeda L.) Natural distribution in North America (Silba 1986 and one of the most freuently planted in Brazil (Zancheetta & Diniz 006,), But also recorded in Eucalyptus sp. Plantation.",,,U. Keutendjian-Filho (sp 193903); V.G Cortez,,,,,,,,,,,,,,0,,,0,,,,
A_aliena,-0.01005085,"Brazil, Rio Grande Do Sul, Minas Do Leao, Agropecuaria Condor; Brazil, Santa Catarina, Correia Pinto",,"30.1288° S, 52.0483° W",-30.1288,-52.0483,May 26 2008; July 10 1996,5/26/2008,5/26/2008,"Solitary on soil, under Eucalyptus sp. plantation, in the biome Pampa. Known distribution- south Brazil, from the States of Rio Grande do Sul and Santa Catarina",,,V.G Cortez; A.J Giachinis.n 31461),,,,,,,,,,,,8.5,14.5,11.5,6,9.5,7.75,,,,
A_shorea,0.022102868,"INDIA. Himachal Pradesh, Nahan, Kaler (1,000m) growing solitary in leaf litter in pure sal forest, under Shorea robusta",,"32.1024° N, 77.5619° E",32.1024,77.5619,Aug 7 2008,8/7/2008,8/7/2008,"Found growing in leaf litter, in pure sal forest, under shorea robusta, in early August at an altitude of 1,000m",Can't find source,figs 4-6,"Yadwinder singh, PUN 3900",,,,,,,,,,,,8,10.4,9.2,6.4,8.8,7.6,,,,
A_alpinicola,0.017378185,"USA, Montana, Carbon County, Near Red Lodge, Beartooth Pass Overlook, Ca 2500 m asl, Under Pinus abicaulis Engelm; Idaho, Valley County, Upper Payette Lake, Twenty Mile Creek, reported with lodgepole pine [ but P. albicaulis is in the vicinity",,"45.043° N, 109.407° W",45.043,-109.407,Aug 8 2008; July 12 1954;,8/8/2008,8/8/2008,"In subalpine to tree-line zones with five-needle pines. Reported from Montana, Idaho, and known from a few places in the Pacific Northwest. Phylogenetic placement of the ITS sequence isolated from a root tip in a conifer forest in the sierra Nevada of California also suggest its presence there (Izzo et al 2005).  The fully opened fruiting bodies are often found buried in the soil in these high, dry habitats. Ectomycorrhizal with five-needle western pines including at least Pinus albicaulis and possibly P. monticola and also with three-needle P. jeffreyi. Fruiting can begin ‘early’ in the season shortly after the snowbank fungi decline, but ‘early’ is a relative term and typically ranges from July to mid-August at these high elevations (2500–3000 m), and it can also be found later in the year. It also occurs in May in Washington and Idaho",,figs 2-3,C. Cripps CLC 2376 ( Holotype Mont;);  A. H Smith AHS 44902,69,54,84,0,0,65.1,49.7,80.5,0.56,0,One of monthly data points is missing,9,12,10.5,7,8,7.5,,,,
A_kitamagotake,-0.055069031,"JAPAN, Nagano pref, Shimoina District, Matsukawa, Koshibu-dam, on the ground in a mixed forest of Quercus serata Murray, Q. acutissima Carruth, and Pinus densiflora Seib et Zucc",,"35.3625° N, 137.58° E",35.3625,137.58,Oct 18 2008,10/18/2008,10/18/2008,"Under cool to warm temperate deciduous or evergreen oak trees, sometimes associated with Pinus densiflor or Castamopsis Cuspidata (Thumb.) Schottky, with little to moderate development of the litter layer on sandy, clay, or andosol soils. Fruting occurs twice in a year in the early jun to late july and early sept to late oct. Ectomycorrihazal formations were confirmed. ",,,N. Endo 70004,n/a,55,80,0,0,n/a,30,70,4.97,0,"used weather data in station in gifu ~2 hr away, and had some data points missing for montly average",9,13.5,11.25,6.5,8.5,7.5,,,,
A_similis,0.066712955,"NDONESIA. EAST KALIMANTAN PROVINCE: Bukit Bangkirai; MALAYSIA. JOHOR STATE: Endau-Rompin National Park; NEGERI SEMBILAN STATE: Pasoh, 6 Jun 2009",,"2.471439, 103.266520",2.471439,103.26652,28 Feb 2008;  5 Sep 2009; 6 Jun 2009,6/6/2009,6/6/2009,"In small groups on the ground in lowland dipterocarp forest; known from Indonesia, Malaysia, and Singapore.",,,,,,,,,,,,,,,8,9,8.5,6,7,6.5,,,,
A_princeps,0.146039364,MALAYSIA. JOHOR STATE: Endau-Rompin National Park; SELANGOR STATE: Kepong,,"2.471439, 103.266520",2.471439,103.26652,9 Sep 2009; 22 Sep 1999,9/9/2009,9/9/2009,"In small groups on the ground, occasionally forming a fairy ring, in lowland dipterocarp forest; known from Malaysia and Singapore.",,,,,,,,,,,,,,,8.5,10,9.25,7,9,8,,117.1217157,,
A_lesueurii,-0.167608033,"Lesueur National Park, Shire of Dandaragan, Western Australia",,"30.1544° S, 115.1195° E",-30.1544,115.1195,"June 6, 2010",6/6/2010,6/6/2010,"Solitary to gregarious, in sandy soil in kwongan vegetation and low mulga woodland over scrub; nearby plants include Allocasuarina humilis, Corymbia calophylla, Acacia aneura, Daviesia sp., Eremophila sp. and Melaleuca sp. Occurs in the Geraldton Sandplains and Yalgoo bioregions (Department of the Environment 2013).",,Fig 1-2,E.m and P.J.N Davidson ,,,,,,,,,,,,10.5,13,11.75,5,6.5,5.75,,,,
A_wadjukiorum,-0.018018541,"Kings Park and Botanic Garden, Perth, Western Australia; Western Australia [ Localities withheld for conservation reasons",,"31.9609° S, 115.8322° E",-31.9609,115.8322,Jun 22 2010; Aug 4 2002,6/22/2010,6/22/2010,"Solitary to gregarious, in sandy soil in degraded native vegetation; nearby plants include allocasuarina fraseriana, Corymbia calophylla, C. citriodora and Brachychiton sp. Occurs in the Swan Coastal PLain SWA2 Perth sub-bioregion",,,E.M & P.J.N Davison; E.M & P.J.N Davison ,n/a,47,67,0,0,n/a,45,66,2.02,0,,9,12,10.5,6,7,6.5,,,,
A_vernicoccora,-0.040637569,"USA, California, El Dorado County, Georgetown, Dru Barner Campground, Under Quercus kelloggii",,"38.7426° N, 120.4358° W",38.7426,-120.4358,May 21 2011,5/21/2011,5/21/2011,"Fruits in late winter and spring and is apparently restrcited to Californa. Along the coast and in the lower elevations of Sierra Nevada (<2000 ft) it fruits in Feb-March and is known to associate with evergreen oaks such as live oak (Quercus agrifolia Nee), Interior live oak ( Quercus wislizenii A. DC) and blue oak ( Querus douglasii Hook. & Arn). Likely assocaited are also to Pacific madrone and manzanita. This species is far more common in the foothills of the Sierra Nevada and Shasta Cascade range in may-jun where the primary assocaition in the lower elevations (2000-4000 ft) is with the deciduous black oak (Quescus kelloggii Newb.). At higher elevations may switch assocation to conifers, but we have not seen it outside the range of the black oak (< 6000 ft)",,,Bojantchev DBB 43538,65.5,54,77,0,missing,59.3,46.4,71.8,2.67,missing,Had to use Auburn Ca weather data which is ~ 40 min away; some data points missing as well for monthly,9.2,11.8,10.5,6.2,7.1,6.65,,,,
A_quenda,-0.091208163,"Quenda Wetland, City of Melville, Western Australia [ Precise locality withheld for conservation reason]",,"32.0439° S, 115.7994° E",-32.0439,115.7994,July 27 2011,7/27/2011,7/27/2011,"Solitary or scattered, in moist sandy soil in wetland vegetation, associated with Eucalyptus rudis, Melaleuca preissiana and Kunzea glabrescens. Occurs in the Swan Coastal Plain IBRA bioregion",pg 6 -8,Figs 3 and 4,E.M & P.J.N Davison EMD 34-2011 ,n/a,48,71,0,0,n/a,47,65,6.37,0,Used Perth Data since near Melville.,9,13,11,5,7.5,6.25,,,,
